ID,pit,TPS_order,side,length,length_cm,weight,rearing,rearing_side,K,pec_length_left,pec_length_right,pec_mean,pec_div_adj,pec_diff,pec_diff_direction,mouth_length_left,mouth_length_right,mouth_mean,mouth_diff,mouth_diff_direction,eye_width_left,eye_width_right,eye_width_mean,eye_width_diff,eye_width_diff_direction
DSC_0175.JPG,510331,19,left,82,8.2,4.1,wild reared,wild reared_left,0.957193987,1.775098291,1.483388489,1.62924339,0.198688218,0.291709802,0.291709802,0.261848401,0.314558172,0.288203287,0.052709771,-0.052709771,0.475155276,0.513948672,0.494551974,0.038793395,-0.038793396
DSC_0179.JPG,510375,20,left,99,9.9,9.2,wild reared,wild reared_left,1.24841353,2.136698279,1.464004143,1.800351211,0.181853658,0.672694136,0.672694136,0.315253896,0.301717554,0.308485725,0.013536343,0.013536342,0.606202319,0.687382926,0.646792623,0.081180607,-0.081180607
DSC_0184.JPG,510312,21,left,84,8.4,5.6,wild reared,wild reared_left,1.219729937,1.895602931,1.898954292,1.897278612,0.225866501,0.003351361,-0.003351361,0.213790614,0.440755117,0.327272865,0.226964503,-0.226964503,0.506354767,0.514180738,0.510267752,0.007825971,-0.007825971
DSC_0188.JPG,510379,22,left,83,8.3,5.6,wild reared,wild reared_left,1.262534112,1.946818509,1.586685967,1.766752238,0.212861715,0.360132542,0.360132542,0.284791863,0.318874162,0.301833012,0.0340823,-0.034082299,0.556984739,0.572163087,0.564573913,0.015178349,-0.015178348
DSC_0192.JPG,510384,23,left,86,8.6,5.7,wild reared,wild reared_left,1.160163816,1.858862619,1.633302694,1.746082657,0.203032867,0.225559925,0.225559925,0.241919811,0.256771152,0.249345481,0.014851341,-0.014851341,0.547266148,0.536047093,0.541656621,0.011219055,0.011219055
DSC_0196.JPG,510353,24,left,81,8.1,5.7,wild reared,wild reared_left,1.378599134,1.838682231,1.801069663,1.819875947,0.224676043,0.037612568,0.037612568,0.304545795,0.341049095,0.322797445,0.0365033,-0.0365033,0.566134943,0.565451675,0.565793309,0.000683269,0.000683268
DSC_0200.JPG,510319,25,left,89,8.9,6.2,wild reared,wild reared_left,1.143269112,1.763414148,1.762628525,1.763021337,0.198092285,0.000785623,0.000785623,0.284392179,0.282382793,0.283387486,0.002009386,0.002009386,0.545618979,0.542902288,0.544260633,0.002716691,0.002716691
DSC_0204.JPG,510893,26,left,81,8.1,5.6,wild reared,wild reared_left,1.354413184,1.841372657,1.673589709,1.757481183,0.216972986,0.167782948,0.167782948,0.240031708,0.313656155,0.276843931,0.073624447,-0.073624447,0.493805062,0.482501726,0.488153394,0.011303336,0.011303336
DSC_0208.JPG,510396,27,left,80,8,4.9,wild reared,wild reared_left,1.228278691,1.784481979,1.679472021,1.731977,0.216497125,0.105009958,0.105009958,0.225147736,0.266050431,0.245599084,0.040902695,-0.040902695,0.512644647,0.514180738,0.513412692,0.00153609,-0.001536091
DSC_0212.JPG,510869,28,left,79,7.9,5.1,wild reared,wild reared_left,1.325574537,1.877491246,1.712285123,1.794888185,0.227201036,0.165206123,0.165206123,0.229412607,0.320180901,0.274796754,0.090768295,-0.090768294,0.495205193,0.551811033,0.523508113,0.05660584,-0.05660584
DSC_0220.JPG,510367,29,left,80,8,4.3,wild reared,wild reared_left,1.077877219,1.799437523,1.624263291,1.711850407,0.213981301,0.175174232,0.175174232,0.274355062,0.19853888,0.236446971,0.075816183,0.075816182,0.481842329,0.5550713,0.518456814,0.073228971,-0.073228971
DSC_0224.JPG,510349,30,left,83,8.3,5.2,wild reared,wild reared_left,1.172353104,1.815493303,1.811535015,1.813514159,0.218495682,0.003958288,0.003958288,0.280399283,0.272346934,0.276373108,0.008052349,0.008052349,0.554243235,0.592839466,0.57354135,0.038596231,-0.038596231
DSC_0227.JPG,510840,31,left,82,8.2,5.6,wild reared,wild reared_left,1.307386909,1.923202858,1.709417495,1.816310177,0.221501241,0.213785363,0.213785363,0.265449924,0.28111254,0.273281232,0.015662616,-0.015662616,0.566414413,0.53676063,0.551587521,0.029653782,0.029653783
DSC_0232.JPG,510317,32,left,90,9,7,wild reared,wild reared_left,1.249912504,1.946366282,1.85465024,1.900508261,0.211167585,0.091716042,0.091716042,0.306665723,0.342909588,0.324787656,0.036243865,-0.036243865,0.551272839,0.643219728,0.597246283,0.091946889,-0.091946889
DSC_0236.JPG,510877,33,left,79,7.9,4.4,wild reared,wild reared_left,1.143632934,1.805397105,1.563792644,1.684594874,0.213239857,0.241604461,0.241604461,0.244744862,0.233620066,0.239182464,0.011124795,0.011124796,0.480681125,0.520712962,0.500697044,0.040031837,-0.040031837
