ID,pit,TPS_order,body_morph_remove,side,length,length_cm,weight,rearing,rearing_side,K,pec_length,mouth_length
DSC_0097.JPG,510895,1,,left,87,8.7,7.3,semi-wild,semi-wild_left,1.437167583,1.960145061,0.384063609
DSC_0100.JPG,510852,2,,left,82,8.2,5.2,semi-wild,semi-wild_left,1.21400213,1.820892533,0.326368577
DSC_0106.JPG,510896,3,,left,77,7.7,4.7,semi-wild,semi-wild_left,1.31523867,1.772187268,0.296782037
DSC_0111.JPG,510305,4,,left,75,7.5,4,semi-wild,semi-wild_left,1.207490028,1.617771615,0.238688718
DSC_0115.JPG,510897,5,,left,71,7.1,4,semi-wild,semi-wild_left,1.413956169,1.66952111,0.306665723
DSC_0119.JPG,510337,6,,left,89,8.9,7.5,semi-wild,semi-wild_left,1.38298683,1.893932474,0.363039816
DSC_0123.JPG,510875,7,,left,83,8.3,6.1,semi-wild,semi-wild_left,1.375260372,1.809651693,0.289698718
DSC_0127.JPG,510382,8,,left,81,8.1,5.7,semi-wild,semi-wild_left,1.378599134,1.809121442,0.277081461
DSC_0131.JPG,510862,9,,left,84,8.4,5.4,semi-wild,semi-wild_left,1.176168153,1.897668086,0.303553601
DSC_0135.JPG,510846,10,,left,74,7.4,4.9,semi-wild,semi-wild_left,1.537477352,1.678843891,0.192873391
DSC_0139.JPG,510863,11,,left,83,8.3,5.7,semi-wild,semi-wild_left,1.285079364,1.796045591,0.243468505
DSC_0143.JPG,510855,12,,left,77,7.7,4.6,semi-wild,semi-wild_left,1.287254869,1.701192102,0.264666279
DSC_0148.JPG,510831,13,,left,82,8.2,4.7,semi-wild,semi-wild_left,1.097271156,1.806938669,0.271510238
DSC_0150.JPG,510824,14,,left,73,7.3,4.1,semi-wild,semi-wild_left,1.337870321,1.689087537,0.29784661
DSC_0155.JPG,510394,15,,left,72,7.2,4.2,semi-wild,semi-wild_left,1.426039978,1.726582085,0.238294722
DSC_0159.JPG,510325,16,,left,73,7.3,3.8,semi-wild,semi-wild_left,1.239977371,1.684830834,0.232176843
DSC_0164.JPG,510344,17,,left,75,7.5,5,semi-wild,semi-wild_left,1.509362535,1.739728039,0.296265009
DSC_0171.JPG,510849,18,,left,73,7.3,4.7,semi-wild,semi-wild_left,1.533656222,1.741506656,0.256967864
DSC_0175.JPG,510331,19,,left,82,8.2,4.1,semi-wild,semi-wild_left,0.957193987,1.775098291,0.261848401
DSC_0179.JPG,510375,20,,left,99,9.9,9.2,semi-wild,semi-wild_left,1.24841353,2.136698279,0.315253896
DSC_0184.JPG,510312,21,,left,84,8.4,5.6,semi-wild,semi-wild_left,1.219729937,1.895602931,0.213790614
DSC_0188.JPG,510379,22,,left,83,8.3,5.6,semi-wild,semi-wild_left,1.262534112,1.946818509,0.284791863
DSC_0192.JPG,510384,23,,left,86,8.6,5.7,semi-wild,semi-wild_left,1.160163816,1.858862619,0.241919811
DSC_0196.JPG,510353,24,,left,81,8.1,5.7,semi-wild,semi-wild_left,1.378599134,1.838682231,0.304545795
DSC_0200.JPG,510319,25,,left,89,8.9,6.2,semi-wild,semi-wild_left,1.143269112,1.763414148,0.284392179
DSC_0204.JPG,510893,26,,left,81,8.1,5.6,semi-wild,semi-wild_left,1.354413184,1.841372657,0.240031708
DSC_0208.JPG,510396,27,,left,80,8,4.9,semi-wild,semi-wild_left,1.228278691,1.784481979,0.225147736
DSC_0212.JPG,510869,28,,left,79,7.9,5.1,semi-wild,semi-wild_left,1.325574537,1.877491246,0.229412607
DSC_0220.JPG,510367,29,,left,80,8,4.3,semi-wild,semi-wild_left,1.077877219,1.799437523,0.274355062
DSC_0224.JPG,510349,30,,left,83,8.3,5.2,semi-wild,semi-wild_left,1.172353104,1.815493303,0.280399283
DSC_0227.JPG,510840,31,,left,82,8.2,5.6,semi-wild,semi-wild_left,1.307386909,1.923202858,0.265449924
DSC_0232.JPG,510317,32,,left,90,9,7,semi-wild,semi-wild_left,1.249912504,1.946366282,0.306665723
DSC_0236.JPG,510877,33,,left,79,7.9,4.4,semi-wild,semi-wild_left,1.143632934,1.805397105,0.244744862
DSC_0240.JPG,510397,34,,left,73,7.3,4.2,semi-wild,semi-wild_left,1.370501304,1.676429558,0.211090188
DSC_0244.JPG,510882,35,,left,81,8.1,5.7,semi-wild,semi-wild_left,1.378599134,1.848845434,0.245108315
DSC_0248.JPG,510345,36,,left,84,8.4,5,semi-wild,semi-wild_left,1.089044586,1.844295146,0.290653134
DSC_0252.JPG,510316,37,,left,76,7.6,4.3,semi-wild,semi-wild_left,1.249468494,1.64250015,0.256042406
DSC_0256.JPG,510839,38,,left,70,7,3.6,semi-wild,semi-wild_left,1.325623351,1.619687214,0.239887439
DSC_0260.JPG,510385,39,,left,80,8,4.9,semi-wild,semi-wild_left,1.228278691,1.813183261,0.277474699
DSC_0264.JPG,510376,40,,left,77,7.7,4.8,semi-wild,semi-wild_left,1.343222472,1.707397535,0.246458318
